beta_regime,sigma_eta_regime,method,target,target_type,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
0.95,0.15,Manual ABC,alpha,parameter,5,-0.47929073190026295,0.47959049674442644,0.47929073190026295,0.3423505227859021,0.01353940964624671,0.3439438010574282,0.33611660902512863,0.35044476919586026,0.01432816017073163,1.0,1.1843659309268912,10000.0,
0.95,0.15,Manual ABC,beta,parameter,5,-0.0456987200540661,0.045777611085433274,0.0456987200540661,0.306702819154806,0.02015751185770463,0.31100328613901124,0.2917545640939454,0.32249208708934846,0.030737522995403055,1.0,0.11979515261125517,10000.0,
0.95,0.15,Manual ABC,sigma_eta,parameter,5,0.05584370200327573,0.05740149555100439,0.05584370200327573,0.12409711556283495,0.03299949850547822,0.1124783366826206,0.10471727251989496,0.1464172439403115,0.04169997142041654,1.0,0.2477375647017548,10000.0,
0.95,0.15,Manual ABC,long_run_log_variance,derived,5,-0.4191069035912676,0.4332875247487422,0.4191069035912676,0.04191069035912676,0.012292010853106898,0.038691085027170044,0.03313336339692494,0.05421145410844339,0.02107809071151845,1.0,6.3128253686061875,10000.0,
0.95,0.15,Manual ABC,half_life_days,derived,5,-5.072105691563811,5.086668015341915,5.072105691563811,0.3753387703200122,0.03182190121366831,0.38001941720196863,0.3548641632653854,0.40070367607324076,0.045839512807855365,1.0,21.47014675689408,10000.0,
0.95,0.15,Manual ABC,stationary_log_volatility_variance,derived,5,0.02156934089037666,0.044406782486704585,0.03414686727531014,0.14796975819301064,0.13754099886314208,0.09602782547052321,0.040228710366256186,0.21292218580445407,0.17269347543819788,1.0,0.416378291106268,10000.0,
0.95,0.15,Auto ABC,alpha,parameter,5,-0.4274150258224136,0.4525237818850881,0.4274150258224136,0.3052964470160098,0.1187041234497981,0.34289835605545615,0.23355440054143475,0.3537533888304147,0.12019898828897993,0.8,1.127329015446684,10000.0,
0.95,0.15,Auto ABC,beta,parameter,5,-0.04144908149521256,0.04502980012890905,0.04144908149521256,0.27818175500142656,0.1320410193798834,0.28592342956002437,0.19408228249931284,0.2932415234752065,0.09915924097589365,0.8,0.1040560181838539,10000.0,
0.95,0.15,Auto ABC,sigma_eta,parameter,5,0.06913620521501182,0.08962590751354459,0.06913620521501182,0.15363601158891518,0.1417045358120812,0.1136869245140159,0.055632211815863766,0.1490235562752002,0.09339134445933643,0.8,0.2726892870166858,10000.0,
0.95,0.15,Auto ABC,long_run_log_variance,derived,5,-0.2416236004602858,0.5540552455245034,0.5085351442694851,0.0508535144269485,0.02458892589562213,0.06327019789173231,0.04689395116124686,0.06672788595229981,0.01983393479105295,1.0,7.467020094861918,10000.0,
0.95,0.15,Auto ABC,half_life_days,derived,5,-4.623992744565214,5.135019038008032,4.623992744565214,0.3421781516896317,0.18476286283421844,0.3848545532646621,0.21544690999927457,0.40592256147332384,0.19047565147404927,0.8,17.980162456625745,10000.0,
0.95,0.15,Auto ABC,stationary_log_volatility_variance,derived,5,0.09023239653089467,0.14818987724103552,0.10499319896618173,0.45497052885345435,0.506663496837371,0.15990869304894317,0.08857498348548103,0.8050914960370151,0.7165165125515341,1.0,0.6717194064370332,10000.0,
0.95,0.15,Wasserstein ABC,alpha,parameter,5,-0.5166394900612354,0.5166777920082252,0.5166394900612354,0.36902820718659674,0.00502405335289922,0.36878274394026833,0.366153593871945,0.3734646845456331,0.00731109067368807,1.0,1.20092179315652,10000.0,
0.95,0.15,Wasserstein ABC,beta,parameter,5,-0.050534515779410906,0.05053577233307745,0.050534515779410906,0.33915782402289196,0.0026740591575282286,0.3388390125975037,0.3379097131093055,0.3412990088339842,0.003389295724678665,1.0,0.12010741145322187,10000.0,
0.95,0.15,Wasserstein ABC,sigma_eta,parameter,5,0.11232886284612745,0.11233158570793242,0.11232886284612745,0.2496196952136165,0.001943204929458156,0.24945385283644964,0.24859748537183662,0.2507467383892606,0.002149253017423969,1.0,0.42543695652652536,10000.0,
0.95,0.15,Wasserstein ABC,long_run_log_variance,derived,5,-0.12546665705744892,0.12866660172000519,0.12546665705744892,0.012546665705744892,0.003188283952620408,0.012830505552517834,0.010268870821506227,0.014070147900658015,0.003801277079151788,1.0,1.1205594434785913,10000.0,
0.95,0.15,Wasserstein ABC,half_life_days,derived,5,-5.460520308460869,5.461103857296055,5.460520308460869,0.4040816778116564,0.006604992908225781,0.4021395783002856,0.40152448625825904,0.4085310345929722,0.007006548334713147,1.0,20.6592277902083,10000.0,
0.95,0.15,Wasserstein ABC,stationary_log_volatility_variance,derived,5,0.2578144008145277,0.2578895685061999,0.2578144008145277,1.1171957368629535,0.03016427892540201,1.1056188131113012,1.095007979963273,1.1428069643294858,0.04779898436621277,1.0,1.510480691257568,10000.0,
0.95,0.15,ABC-SMC,alpha,parameter,5,-0.49887426006640345,0.5020547239159712,0.49887426006640345,0.35633875719028824,0.04505819967692114,0.34856497855864355,0.3429350106965387,0.3855513367962646,0.042616326099725876,1.0,1.1478154353618863,21231.6,48.86663114000112
0.95,0.15,ABC-SMC,beta,parameter,5,-0.044598779180320805,0.04496664997074579,0.044598779180320805,0.29932066563973686,0.04307116277587944,0.2947186048434858,0.28593449816162414,0.3262342529902411,0.040299754828616974,1.0,0.11473948120181994,21231.6,48.86663114000112
0.95,0.15,ABC-SMC,sigma_eta,parameter,5,0.05379209761124872,0.05408605699056538,0.05379209761124872,0.11953799469166382,0.013991133737578624,0.11465679806536758,0.11404848916765717,0.13284812487299186,0.01879963570533469,1.0,0.21183118121938688,21231.6,48.86663114000112
0.95,0.15,ABC-SMC,long_run_log_variance,derived,5,-0.7462368338187115,0.748416268994625,0.7462368338187115,0.07462368338187116,0.006381124066396652,0.07456419413753981,0.07168328883090994,0.08051933899310075,0.008836050162190814,1.0,6.079446616410266,21231.6,48.86663114000112
0.95,0.15,ABC-SMC,half_life_days,derived,5,-5.004612996031955,5.051914809504193,5.004612996031955,0.3703442716074471,0.05706279808844718,0.36951693356521254,0.34956506284555094,0.3964233307995066,0.046858267953955646,1.0,19.00215356197805,21231.6,48.86663114000112
0.95,0.15,ABC-SMC,stationary_log_volatility_variance,derived,5,0.01389435622459495,0.03057693365576448,0.025506674101832095,0.1105289211079391,0.08169776424995741,0.06588982938024564,0.059910280956490126,0.1372082409822313,0.07729796002574119,1.0,0.32544179999211825,21231.6,48.86663114000112
0.95,0.3,Manual ABC,alpha,parameter,5,-0.42341736083883247,0.42707178713348204,0.42341736083883247,0.30244097202773745,0.044521620419014384,0.3145188393030782,0.26632546899505866,0.33612529233615035,0.0697998233410917,1.0,1.1504064724923027,10000.0,
0.95,0.3,Manual ABC,beta,parameter,5,-0.03645370175347633,0.036875235893010665,0.03645370175347633,0.24465571646628406,0.041717935794325894,0.2514340617026404,0.21251734672482933,0.27432784141531286,0.061810494690483525,1.0,0.11160751255955899,10000.0,
0.95,0.3,Manual ABC,sigma_eta,parameter,5,0.08476233291796387,0.08713369927991448,0.08476233291796387,0.18836073981769746,0.0501619887388814,0.18445023080381637,0.1444562547908976,0.2050613930733384,0.060605138282440796,1.0,0.27129316716096746,10000.0,
0.95,0.3,Manual ABC,long_run_log_variance,derived,5,-0.8581948563090147,0.8615017101863196,0.8581948563090147,0.08581948563090148,0.00843118115887604,0.08630138093423093,0.08412783672833299,0.09289378408702173,0.008765947358688742,1.0,7.378092070884051,10000.0,
0.95,0.3,Manual ABC,half_life_days,derived,5,-4.35027316972927,4.4220196053502505,4.35027316972927,0.32192274399922843,0.06563671882609579,0.3402022114746824,0.266603573058916,0.37401722112328545,0.10741364806436943,1.0,19.722464590726116,10000.0,
