seed,N,epsilon,accepted,alpha_mean,alpha_abs_error,beta_mean,beta_abs_error,sigma_eta_mean,sigma_eta_abs_error
3,5000,0.5,26,-0.8292338924000602,0.3292338924000602,0.9159007539947599,0.03409924600524006,0.36002737666690215,0.060027376666902166
3,5000,0.2,1,-0.794355251432837,0.29435525143283703,0.9184954972089628,0.031504502791037114,0.3151863557529507,0.015186355752950687
3,5000,0.1,0,,,,,,
3,10000,2.0,4653,-1.046296771979909,0.546296771979909,0.9315931922933042,0.018406807706695782,0.24617046482232097,0.05382953517767902
3,10000,1.0,573,-0.9710402442545886,0.47104024425458857,0.9059299379856097,0.04407006201439023,0.34447137828849,0.044471378288490016
3,10000,0.5,50,-0.8400161762607213,0.34001617626072134,0.9149632836207051,0.03503671637929484,0.36105750262544495,0.06105750262544496
3,10000,0.2,2,-0.7774943591151322,0.2774943591151322,0.9207784799133176,0.02922152008668233,0.33574914818866475,0.03574914818866476
3,10000,0.1,0,,,,,,
3,20000,2.0,9241,-1.0457583050773251,0.5457583050773251,0.9321597107644691,0.017840289235530826,0.24486643136598052,0.05513356863401947
3,20000,1.0,1142,-0.9661360549791127,0.4661360549791127,0.9063683371256255,0.04363166287437448,0.3445678308711704,0.04456783087117039
3,20000,0.5,104,-0.8263319888517444,0.3263319888517444,0.9169642595184742,0.0330357404815258,0.3528988073972982,0.052898807397298186
3,20000,0.2,2,-0.7774943591151322,0.2774943591151322,0.9207784799133176,0.02922152008668233,0.33574914818866475,0.03574914818866476
3,20000,0.1,0,,,,,,
4,1000,2.0,483,-1.0359680970321477,0.5359680970321477,0.9330974566485231,0.016902543351476895,0.24109660527773072,0.05890339472226927
4,1000,1.0,71,-1.0246258803336705,0.5246258803336705,0.9004349024951577,0.04956509750484228,0.3473956632902535,0.04739566329025352
4,1000,0.5,6,-1.10768723541342,0.60768723541342,0.8896511422785828,0.06034885772141718,0.3996815938139542,0.0996815938139542
4,1000,0.2,0,,,,,,
4,1000,0.1,0,,,,,,
4,2000,2.0,959,-1.0360708413998803,0.5360708413998803,0.9327455649276589,0.017254435072341034,0.24319882235797305,0.05680117764202694
4,2000,1.0,132,-0.9935838339296768,0.49358383392967675,0.9042780954621182,0.04572190453788172,0.34362548354757816,0.04362548354757817
4,2000,0.5,12,-1.0401413687821381,0.5401413687821381,0.8949523439271272,0.055047656072872764,0.37337216325865796,0.07337216325865797
4,2000,0.2,0,,,,,,
4,2000,0.1,0,,,,,,
4,5000,2.0,2363,-1.0400945482538533,0.5400945482538533,0.9320507848761217,0.01794921512387826,0.24160414268615976,0.05839585731384023
4,5000,1.0,320,-0.9699318014479088,0.4699318014479088,0.9058732321388703,0.04412676786112968,0.34053667262451637,0.04053667262451638
4,5000,0.5,37,-0.936466805381699,0.436466805381699,0.9061562817894742,0.043843718210525795,0.35935001999787025,0.05935001999787026
4,5000,0.2,1,-0.9407635474813726,0.4407635474813726,0.9064474001277179,0.043552599872282105,0.4349024164925654,0.1349024164925654
4,5000,0.1,0,,,,,,
4,10000,2.0,4706,-1.042697379899665,0.542697379899665,0.932375194499883,0.017624805500116913,0.2426838050825145,0.05731619491748549
4,10000,1.0,614,-0.9597733954546398,0.4597733954546398,0.9069507425713521,0.04304925742864785,0.3398692867900607,0.03986928679006069
4,10000,0.5,55,-0.9473826302024064,0.44738263020240643,0.9047799717140208,0.04522002828597915,0.3675568794235219,0.0675568794235219
4,10000,0.2,1,-0.9407635474813726,0.4407635474813726,0.9064474001277179,0.043552599872282105,0.4349024164925654,0.1349024164925654
4,10000,0.1,0,,,,,,
4,20000,2.0,9309,-1.0421453100340052,0.5421453100340052,0.9323400581185745,0.0176599418814255,0.24267876018232384,0.057321239817676145
4,20000,1.0,1153,-0.955547505745208,0.45554750574520797,0.9074271494774913,0.0425728505225087,0.33961146252456853,0.03961146252456854
4,20000,0.5,107,-0.8903365458620449,0.3903365458620449,0.9102376639788289,0.039762336021171074,0.3593925292353471,0.0593925292353471
4,20000,0.2,3,-0.723065263424813,0.22306526342481303,0.927174732886658,0.022825267113341985,0.3708113273436718,0.07081132734367179
4,20000,0.1,1,-0.766515911995387,0.26651591199538704,0.9228734070492866,0.027126592950713402,0.39214606898720933,0.09214606898720934
5,1000,2.0,464,-1.0492911388362107,0.5492911388362107,0.9314723597870326,0.018527640212967378,0.23908428001070842,0.06091571998929157
5,1000,1.0,56,-0.9843858745075397,0.48438587450753967,0.9038753347756593,0.046124665224340666,0.33185709335552166,0.03185709335552167
5,1000,0.5,4,-0.9440847412922468,0.44408474129224684,0.9040838099494766,0.04591619005052339,0.3811130678527922,0.08111306785279221
