alpha,beta,sigma_eta,distance,weight
-0.8563318720288847,0.9294284214129015,0.4068659591840899,4.324892090930034,0.0017381240893955627
-0.4107089423134469,0.9674303618538534,0.3457282659962123,2.824395222447829,0.0019852903748829743
-0.6170418651741998,0.9563291788978198,0.40976940766656206,3.4215786894829496,0.0015973898367088108
-0.42399481392904803,0.969027493333693,0.4461190813752745,3.968233196032998,0.0019057691119943579
-0.43653843524622965,0.940930505158919,0.4796382631284089,4.407782524125161,0.0018111811093956605
-0.2290601198408976,0.9789083775153233,0.3214858558772226,2.8272840620750177,0.0026306212183169315
-0.5272225255249252,0.9603124909785702,0.4688818865654592,3.4052033249253566,0.0017972887555931215
-0.3662498451974296,0.9524030954842306,0.3940187051158019,3.292580649268651,0.001700621034640389
-0.4810353340589663,0.9488714478207264,0.45475906302600644,2.3761164013822724,0.001628784376433676
-0.5054296639981718,0.9477615555676667,0.41720553422527706,4.259069426626921,0.0015426151462973336
-0.7610853842376157,0.9371338930890556,0.49874597837131024,3.139841190986096,0.0018583369549606907
-0.8005753892718878,0.9236336592081521,0.4220455786026172,2.9368811198233784,0.0016813311780539111
-0.9437711211228685,0.888118527896552,0.47980880997842,4.558936501914091,0.002824126618759619
-0.4911540163905738,0.9626093798231278,0.2987476140876749,3.9391562980683803,0.002414606932689097
-1.2016452925354209,0.8966579382739585,0.40473615840278565,4.214162075002164,0.0032303996612287737
-1.1180491301760653,0.9263918426011751,0.4449309061632747,3.5706934573480757,0.002234496035502451
-0.6840678942091564,0.9509744154959181,0.36706942294521433,4.623994547485766,0.001757713305660107
-0.36918610118495665,0.9576439177490641,0.2988376892377315,4.506852382354293,0.00241592745145454
-0.3886920618486538,0.9526212041733374,0.3613568771644438,2.3294586345915436,0.001797247141721585
-0.8142179422360625,0.8772587396031154,0.4944745475652522,4.31335582604143,0.0037844239661250882
-0.2717331658284262,0.966220414517914,0.35026825634408243,3.5221541133943313,0.0021000533809622923
-0.9011653415078594,0.9236659669854413,0.4453093331754253,4.533933760385022,0.0017649351432795694
-0.7173670396459657,0.9083128574364737,0.4920121698113639,4.558802151524376,0.0021238269241386004
-0.208157720245976,0.9832264076113882,0.2711247425458684,4.488696166263182,0.0034592513500555535
-0.19516036658299354,0.9811573379238768,0.1870272679298819,2.7730086314989175,0.00642128900707332
-0.6002393730374134,0.9374508376338703,0.4060685945940879,3.6397223134329946,0.001545648378472851
-0.31167626724690733,0.9531987252722166,0.41166076490646625,4.506302099445242,0.0017719161499080201
-0.5259880350603956,0.9386164039519637,0.4142025558515762,4.36999135340236,0.0015481856139471584
-0.3938674885292064,0.9641498729056871,0.4677823130563251,4.296866199873488,0.0019694272527775556
-0.5298430562963989,0.9332596440766624,0.4157171611461972,2.889737445327168,0.0015818802190049374
